title,author,content,summary of the book,price of the book,category,level,year_published,number_of_pages,user_rating
Python for Beginners,John Doe,This book is an introduction to Python programming with examples.,This book is an introduction to Python programming with examples.,$32.24,Data Science,Intermediate,2015,316,3.04
Data Science Explained,Jane Smith,"Learn about data science, statistics, and machine learning techniques.","Learn about data science, statistics, and machine learning techniques.",$45.65,AI,Advanced,2021,227,4.59
Artificial Intelligence,Alan Turing,"A deep dive into AI, neural networks, and algorithms.","A deep dive into AI, neural networks, and algorithms.",$17.90,AI,Advanced,2020,134,4.36
Advanced Python Programming,Emily Davis,In-depth exploration of Python’s advanced features and libraries.,In-depth exploration of Python’s advanced features and libraries.,$36.06,Machine Learning,Beginner,2024,384,3.56
Introduction to Machine Learning,Sarah Lee,"Learn the basics of machine learning, algorithms, and model building.","Learn the basics of machine learning, algorithms, and model building.",$12.68,Data Science,Advanced,2023,197,4.93
Data Structures and Algorithms,Michael Brown,Comprehensive guide to understanding data structures and algorithms in programming.,Comprehensive guide to understanding data structures and algorithms in programming.,$20.86,Data Science,Advanced,2018,277,3.19
Deep Learning with Python,Francois Chollet,Master deep learning concepts and techniques using Python and Keras.,Master deep learning concepts and techniques using Python and Keras.,$29.06,Machine Learning,Beginner,2024,496,4.45
AI Superpowers,Kai-Fu Lee,An analysis of AI development in China and the US and their impact on the future.,An analysis of AI development in China and the US and their impact on the future.,$18.16,AI,Advanced,2018,208,4.15
Machine Learning Yearning,Andrew Ng,Insights into the strategies and techniques needed to build machine learning systems.,Insights into the strategies and techniques needed to build machine learning systems.,$23.89,Machine Learning,Beginner,2020,394,4.11
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,Practical guide to implementing machine learning models using popular Python libraries.,Practical guide to implementing machine learning models using popular Python libraries.,$15.25,Data Science,Advanced,2021,357,3.08
The Hundred-Page Machine Learning Book,Andriy Burkov,A concise introduction to machine learning concepts and algorithms.,A concise introduction to machine learning concepts and algorithms.,$24.61,Data Science,Intermediate,2018,470,3.56
Python Data Science Handbook,Jake VanderPlas,"A comprehensive guide to data science using Python libraries such as Pandas, Matplotlib, and Scikit-learn.","A comprehensive guide to data science using Python libraries such as Pandas, Matplotlib, and Scikit-learn.",$46.03,Programming,Advanced,2023,260,4.32
Fluent Python,Luciano Ramalho,Deep dive into Python programming focusing on writing Pythonic code.,Deep dive into Python programming focusing on writing Pythonic code.,$39.23,Programming,Intermediate,2015,366,3.82
The Elements of Statistical Learning,Trevor Hastie,An advanced statistical learning book covering various machine learning techniques.,An advanced statistical learning book covering various machine learning techniques.,$16.57,Programming,Advanced,2015,144,3.22
Introduction to Statistical Learning,Gareth James,"Introductory book for machine learning, focusing on statistical approaches to data analysis.","Introductory book for machine learning, focusing on statistical approaches to data analysis.",$28.57,Data Science,Beginner,2021,494,4.1
Fluent Python (Extended Edition),Luciano Ramalho,Deep dive into Python programming focusing on writing Pythonic code.,Deep dive into Python programming focusing on writing Pythonic code.,$39.23,Programming,Intermediate,2018,445,4.41
The Elements of Statistical Learning (Extended Edition),Trevor Hastie,An advanced statistical learning book covering various machine learning techniques.,An advanced statistical learning book covering various machine learning techniques.,$16.57,AI,Beginner,2020,258,3.77
Python for Beginners (Extended Edition),John Doe,This book is an introduction to Python programming with examples.,This book is an introduction to Python programming with examples.,$32.24,Data Science,Advanced,2020,426,3.22
Data Science Explained (Extended Edition),Jane Smith,"Learn about data science, statistics, and machine learning techniques.","Learn about data science, statistics, and machine learning techniques.",$45.65,Programming,Advanced,2016,472,4.43
Introduction to Statistical Learning (Extended Edition),Gareth James,"Introductory book for machine learning, focusing on statistical approaches to data analysis.","Introductory book for machine learning, focusing on statistical approaches to data analysis.",$28.57,Machine Learning,Intermediate,2015,130,3.01
Data Science Explained (Extended Edition),Jane Smith,"Learn about data science, statistics, and machine learning techniques.","Learn about data science, statistics, and machine learning techniques.",$45.65,AI,Beginner,2016,342,3.63
Introduction to Statistical Learning (Extended Edition),Gareth James,"Introductory book for machine learning, focusing on statistical approaches to data analysis.","Introductory book for machine learning, focusing on statistical approaches to data analysis.",$28.57,Machine Learning,Advanced,2015,333,4.33
Machine Learning Yearning (Extended Edition),Andrew Ng,Insights into the strategies and techniques needed to build machine learning systems.,Insights into the strategies and techniques needed to build machine learning systems.,$23.89,Machine Learning,Advanced,2021,139,3.7
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow (Extended Edition)",Aurélien Géron,Practical guide to implementing machine learning models using popular Python libraries.,Practical guide to implementing machine learning models using popular Python libraries.,$15.25,AI,Advanced,2019,140,3.08
Python Data Science Handbook (Extended Edition),Jake VanderPlas,"A comprehensive guide to data science using Python libraries such as Pandas, Matplotlib, and Scikit-learn.","A comprehensive guide to data science using Python libraries such as Pandas, Matplotlib, and Scikit-learn.",$46.03,Data Science,Beginner,2018,420,3.11
Data Structures and Algorithms (Extended Edition),Michael Brown,Comprehensive guide to understanding data structures and algorithms in programming.,Comprehensive guide to understanding data structures and algorithms in programming.,$20.86,Programming,Intermediate,2021,323,4.31
Advanced Python Programming (Extended Edition),Emily Davis,In-depth exploration of Python’s advanced features and libraries.,In-depth exploration of Python’s advanced features and libraries.,$36.06,AI,Advanced,2021,133,3.79
Deep Learning with Python (Extended Edition),Francois Chollet,Master deep learning concepts and techniques using Python and Keras.,Master deep learning concepts and techniques using Python and Keras.,$29.06,Data Science,Beginner,2019,267,4.55
Machine Learning Yearning (Extended Edition),Andrew Ng,Insights into the strategies and techniques needed to build machine learning systems.,Insights into the strategies and techniques needed to build machine learning systems.,$23.89,Programming,Beginner,2017,389,4.23
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow (Extended Edition)",Aurélien Géron,Practical guide to implementing machine learning models using popular Python libraries.,Practical guide to implementing machine learning models using popular Python libraries.,$15.25,Data Science,Beginner,2022,175,4.19
